Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Candidate_D,Percentage_D,Raw_Vote_G,Total,Voter_Turnout
Total,Bost,44.15%,16081,Kelly,51.59%,18789,Auxier,4.26%,1551,36421,50.23%
Fort Russell 02,Bost,57.89%,275,Kelly,39.16%,186,Auxier,2.95%,14,475,51.29%
Fort Russell 04,Bost,56.16%,447,Kelly,39.70%,316,Auxier,4.15%,33,796,62.22%
Nameoki 01,Bost,53.00%,247,Kelly,42.92%,200,Auxier,4.08%,19,466,51.93%
Nameoki 02,Bost,30.17%,54,Kelly,66.48%,119,Auxier,3.35%,6,179,43.69%
Nameoki 03,Bost,52.21%,295,Kelly,43.89%,248,Auxier,3.89%,22,565,51.81%
Nameoki 04,Bost,34.38%,44,Kelly,62.50%,80,Auxier,3.13%,4,128,35.81%
Nameoki 05,Bost,54.64%,153,Kelly,40.71%,114,Auxier,4.64%,13,280,50.63%
Nameoki 06,Bost,53.03%,271,Kelly,43.64%,223,Auxier,3.33%,17,511,53.15%
Nameoki 07,Bost,54.32%,283,Kelly,42.03%,219,Auxier,3.65%,19,521,56.97%
Nameoki 08,Bost,48.06%,198,Kelly,46.12%,190,Auxier,5.83%,24,412,44.70%
Chouteau 01,Bost,55.10%,200,Kelly,39.67%,144,Auxier,5.23%,19,363,47.84%
Chouteau 02,Bost,52.00%,117,Kelly,42.22%,95,Auxier,5.78%,13,225,38.42%
Chouteau 03,Bost,52.96%,152,Kelly,41.81%,120,Auxier,5.23%,15,287,53.59%
Chouteau 04,Bost,57.43%,228,Kelly,36.78%,146,Auxier,5.79%,23,397,48.13%
Chouteau 05,Bost,45.73%,198,Kelly,47.81%,207,Auxier,6.47%,28,433,50.11%
Chouteau 06,Bost,53.10%,231,Kelly,40.46%,176,Auxier,6.44%,28,435,47.81%
Chouteau 07,Bost,53.15%,135,Kelly,42.91%,109,Auxier,3.94%,10,254,48.50%
Wood River 01,Bost,48.93%,228,Kelly,45.49%,212,Auxier,5.58%,26,466,52.51%
Wood River 02,Bost,54.40%,68,Kelly,41.60%,52,Auxier,4.00%,5,125,43.34%
Wood River 03,Bost,43.61%,99,Kelly,51.10%,116,Auxier,5.29%,12,227,42.44%
Wood River 04,Bost,43.92%,159,Kelly,51.10%,185,Auxier,4.97%,18,362,52.96%
Wood River 05,Bost,50.15%,164,Kelly,46.79%,153,Auxier,3.06%,10,327,49.70%
Wood River 06,Bost,44.99%,193,Kelly,48.72%,209,Auxier,6.29%,27,429,51.71%
Wood River 07,Bost,45.14%,144,Kelly,48.90%,156,Auxier,5.96%,19,319,44.23%
Wood River 08,Bost,44.98%,197,Kelly,50.00%,219,Auxier,5.02%,22,438,46.03%
Wood River 09,Bost,42.49%,150,Kelly,52.41%,185,Auxier,5.10%,18,353,39.21%
Wood River 10,Bost,48.65%,198,Kelly,47.67%,194,Auxier,3.69%,15,407,64.49%
Wood River 11,Bost,46.10%,189,Kelly,50.00%,205,Auxier,3.90%,16,410,47.67%
Wood River 12,Bost,56.63%,299,Kelly,40.34%,213,Auxier,3.03%,16,528,61.70%
Wood River 13,Bost,49.21%,218,Kelly,47.63%,211,Auxier,3.16%,14,443,63.79%
Wood River 14,Bost,46.72%,178,Kelly,47.77%,182,Auxier,5.51%,21,381,61.30%
Wood River 15,Bost,47.89%,125,Kelly,45.98%,120,Auxier,6.13%,16,261,45.30%
Wood River 16,Bost,53.56%,361,Kelly,43.18%,291,Auxier,3.26%,22,674,57.24%
Wood River 17,Bost,51.27%,161,Kelly,43.95%,138,Auxier,4.78%,15,314,40.38%
Wood River 18,Bost,53.38%,150,Kelly,44.13%,124,Auxier,2.49%,7,281,62.80%
Wood River 19,Bost,56.13%,316,Kelly,39.96%,225,Auxier,3.91%,22,563,63.47%
Wood River 20,Bost,49.82%,137,Kelly,46.91%,129,Auxier,3.27%,9,275,71.28%
Wood River 21,Bost,47.91%,172,Kelly,46.24%,166,Auxier,5.85%,21,359,50.41%
Wood River 22,Bost,50.95%,188,Kelly,45.53%,168,Auxier,3.52%,13,369,50.74%
Wood River 23,Bost,49.67%,226,Kelly,44.62%,203,Auxier,5.71%,26,455,55.04%
Wood River 24,Bost,49.42%,170,Kelly,47.38%,163,Auxier,3.20%,11,344,56.47%
Wood River 25,Bost,54.52%,217,Kelly,42.21%,168,Auxier,3.27%,13,398,55.98%
Wood River 26,Bost,54.05%,360,Kelly,42.19%,281,Auxier,3.75%,25,666,61.95%
Wood River 27,Bost,59.09%,104,Kelly,37.50%,66,Auxier,3.41%,6,176,44.47%
Venice 01,Bost,4.01%,12,Kelly,93.98%,281,Auxier,2.01%,6,299,50.83%
Venice 02,Bost,40.85%,58,Kelly,54.23%,77,Auxier,4.93%,7,142,46.62%
Venice 03,Bost,3.23%,4,Kelly,95.97%,119,Auxier,0.81%,1,124,56.56%
Venice 04,Bost,2.08%,6,Kelly,95.49%,275,Auxier,2.43%,7,288,46.13%
Venice 05,Bost,2.50%,1,Kelly,97.50%,39,Auxier,0.00%,0,40,45.45%
