Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Candidate_D,Percentage_D,Raw_Vote_G,Total,Voter_Turnout
Total,Bost,62.20%,9735,Kelly,35.73%,5593,Auxier,2.07%,324,15652,60.51%
Precinct 1,Bost,61.90%,372,Kelly,37.10%,223,Auxier,1.00%,6,601,60.83%
Precinct 2,Bost,59.26%,240,Kelly,38.27%,155,Auxier,2.47%,10,405,57.49%
Precinct 3,Bost,68.20%,281,Kelly,29.85%,123,Auxier,1.94%,8,412,66.77%
Precinct 4,Bost,54.03%,208,Kelly,43.38%,167,Auxier,2.60%,10,385,63.40%
Precinct 5,Bost,57.10%,181,Kelly,41.64%,132,Auxier,1.26%,4,317,59.70%
Precinct 6,Bost,75.35%,480,Kelly,23.23%,148,Auxier,1.41%,9,637,63.29%
Precinct 7,Bost,68.47%,367,Kelly,30.04%,161,Auxier,1.49%,8,536,62.57%
Precinct 8,Bost,52.76%,191,Kelly,45.03%,163,Auxier,2.21%,8,362,58.83%
Precinct 9,Bost,66.33%,262,Kelly,29.87%,118,Auxier,3.80%,15,395,59.05%
Precinct 10,Bost,65.63%,317,Kelly,31.68%,153,Auxier,2.69%,13,483,63.61%
Precinct 11,Bost,59.69%,234,Kelly,38.01%,149,Auxier,2.30%,9,392,64.09%
Precinct 12,Bost,62.50%,350,Kelly,36.07%,202,Auxier,1.43%,8,560,62.39%
Precinct 13,Bost,68.35%,257,Kelly,28.72%,108,Auxier,2.93%,11,376,65.36%
Precinct 14,Bost,66.06%,364,Kelly,32.30%,178,Auxier,1.63%,9,551,67.19%
Precinct 15,Bost,71.14%,281,Kelly,27.34%,108,Auxier,1.52%,6,395,62.82%
Precinct 16,Bost,58.88%,232,Kelly,37.56%,148,Auxier,3.55%,14,394,64.48%
Precinct 17,Bost,55.26%,205,Kelly,43.40%,161,Auxier,1.35%,5,371,54.51%
Precinct 18,Bost,54.95%,172,Kelly,43.45%,136,Auxier,1.60%,5,313,55.17%
Precinct 19,Bost,56.20%,195,Kelly,40.35%,140,Auxier,3.46%,12,347,59.39%
Precinct 20,Bost,60.24%,297,Kelly,36.92%,182,Auxier,2.84%,14,493,55.54%
Precinct 21,Bost,71.78%,323,Kelly,27.56%,124,Auxier,0.67%,3,450,59.26%
Precinct 22,Bost,66.05%,323,Kelly,31.08%,152,Auxier,2.86%,14,489,60.51%
Precinct 23,Bost,62.36%,270,Kelly,35.80%,155,Auxier,1.85%,8,433,57.67%
Precinct 24,Bost,63.36%,230,Kelly,35.26%,128,Auxier,1.38%,5,363,60.76%
Precinct 25,Bost,64.07%,255,Kelly,34.42%,137,Auxier,1.51%,6,398,64.89%
Precinct 26,Bost,54.84%,204,Kelly,42.20%,157,Auxier,2.96%,11,372,62.35%
Precinct 27,Bost,65.16%,260,Kelly,32.08%,128,Auxier,2.76%,11,399,65.68%
Precinct 28,Bost,68.29%,323,Kelly,30.23%,143,Auxier,1.48%,7,473,61.26%
Precinct 29,Bost,60.62%,354,Kelly,36.99%,216,Auxier,2.40%,14,584,61.06%
Precinct 30,Bost,66.61%,367,Kelly,31.58%,174,Auxier,1.81%,10,551,61.54%
Precinct 31,Bost,51.81%,172,Kelly,46.39%,154,Auxier,1.81%,6,332,54.12%
Precinct 32,Bost,47.33%,133,Kelly,49.47%,139,Auxier,3.20%,9,281,49.73%
Precinct 33,Bost,55.56%,190,Kelly,42.11%,144,Auxier,2.34%,8,342,55.65%
Precinct 34,Bost,59.44%,192,Kelly,38.70%,125,Auxier,1.86%,6,323,56.35%
Precinct 35,Bost,62.95%,277,Kelly,35.00%,154,Auxier,2.05%,9,440,63.18%
Precinct 36,Bost,56.32%,196,Kelly,41.95%,146,Auxier,1.72%,6,348,55.89%
Precinct 37,Bost,51.58%,180,Kelly,46.42%,162,Auxier,2.01%,7,349,57.57%
