Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Candidate_D,Percentage_D,Raw_Vote_G,Total,Voter_Turnout
Total,Bost,62.52%,7672,Kelly,35.18%,4317,Auxier,2.31%,283,12272,57.93%
Baldwin,Bost,65.25%,246,Kelly,31.03%,117,Auxier,3.71%,14,377,56.38%
Bremen,Bost,73.00%,146,Kelly,26.00%,52,Auxier,1.00%,2,200,56.62%
Brewerville,Bost,49.21%,62,Kelly,49.21%,62,Auxier,1.59%,2,126,69.57%
Central,Bost,61.50%,131,Kelly,36.15%,77,Auxier,2.35%,5,213,63.02%
Chester 1,Bost,62.64%,171,Kelly,35.53%,97,Auxier,1.83%,5,273,57.26%
Chester 2,Bost,51.31%,98,Kelly,44.50%,85,Auxier,4.19%,8,191,48.63%
Chester 3,Bost,63.71%,223,Kelly,34.29%,120,Auxier,2.00%,7,350,59.27%
Chester 4,Bost,57.89%,231,Kelly,38.85%,155,Auxier,3.26%,13,399,56.77%
Chester 5,Bost,67.35%,132,Kelly,30.61%,60,Auxier,2.04%,4,196,50.75%
Chester 6,Bost,55.36%,217,Kelly,42.60%,167,Auxier,2.04%,8,392,60.51%
Chester 7,Bost,66.87%,224,Kelly,30.15%,101,Auxier,2.99%,10,335,59.30%
Coulterville 1,Bost,58.96%,125,Kelly,37.26%,79,Auxier,3.77%,8,212,50.00%
Coulterville 2,Bost,55.59%,169,Kelly,43.09%,131,Auxier,1.32%,4,304,55.64%
Ellis Grove,Bost,61.08%,284,Kelly,36.56%,170,Auxier,2.37%,11,465,67.09%
Evansville,Bost,55.41%,251,Kelly,43.05%,195,Auxier,1.55%,7,453,67.06%
Kaskaskia,Bost,37.50%,9,Kelly,58.33%,14,Auxier,4.17%,1,24,50.98%
Palestine,Bost,58.28%,190,Kelly,40.18%,131,Auxier,1.53%,5,326,66.33%
Percy,Bost,63.59%,234,Kelly,33.97%,125,Auxier,2.45%,9,368,52.23%
Prairie Du Rocher,Bost,60.84%,202,Kelly,36.45%,121,Auxier,2.71%,9,332,52.14%
Red Bud 1,Bost,69.70%,276,Kelly,27.78%,110,Auxier,2.53%,10,396,58.62%
Red Bud 2,Bost,65.19%,339,Kelly,31.73%,165,Auxier,3.08%,16,520,61.25%
Red Bud 3,Bost,67.05%,236,Kelly,28.98%,102,Auxier,3.98%,14,352,49.51%
Red Bud 4,Bost,69.61%,575,Kelly,28.09%,232,Auxier,2.30%,19,826,60.56%
Rockwood,Bost,67.55%,102,Kelly,32.45%,49,Auxier,0.00%,0,151,71.16%
Ruma,Bost,64.15%,238,Kelly,33.96%,126,Auxier,1.89%,7,371,61.54%
Sparta 1,Bost,55.79%,183,Kelly,39.63%,130,Auxier,4.57%,15,328,48.48%
Sparta 2,Bost,58.56%,212,Kelly,39.78%,144,Auxier,1.66%,6,362,61.39%
Sparta 3,Bost,57.93%,252,Kelly,40.69%,177,Auxier,1.38%,6,435,63.18%
Sparta 4,Bost,61.41%,226,Kelly,37.50%,138,Auxier,1.09%,4,368,58.10%
Sparta 5,Bost,50.71%,143,Kelly,47.87%,135,Auxier,1.42%,4,282,44.60%
Sparta 6,Bost,57.89%,187,Kelly,39.94%,129,Auxier,2.17%,7,323,45.02%
Steeleville 1,Bost,66.76%,227,Kelly,31.18%,106,Auxier,2.06%,7,340,62.59%
Steeleville 2,Bost,73.07%,312,Kelly,25.76%,110,Auxier,1.17%,5,427,66.41%
Steeleville 3,Bost,68.79%,291,Kelly,29.55%,125,Auxier,1.65%,7,423,68.69%
Tilden,Bost,62.97%,233,Kelly,33.78%,125,Auxier,3.24%,12,370,76.37%
Walsh,Bost,58.11%,129,Kelly,37.84%,84,Auxier,4.05%,9,222,61.60%
Wine Hill,Bost,69.17%,166,Kelly,29.58%,71,Auxier,1.25%,3,240,66.03%
