Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Candidate_D,Percentage_D,Raw_Vote_G,Total,Voter_Turnout
Total,Bost,42.11%,41628,Kelly,54.49%,53867,Auxier,3.39%,3355,98850,51.89%
Belleville 1,Bost,40.41%,156,Kelly,55.44%,214,Auxier,4.15%,16,386,54.91%
Belleville 2,Bost,34.52%,203,Kelly,60.71%,357,Auxier,4.76%,28,588,46.75%
Belleville 3,Bost,44.27%,193,Kelly,50.46%,220,Auxier,5.28%,23,436,51.69%
Belleville 4,Bost,40.23%,177,Kelly,56.14%,247,Auxier,3.64%,16,440,52.07%
Belleville 5,Bost,35.25%,129,Kelly,58.74%,215,Auxier,6.01%,22,366,40.53%
Belleville 6,Bost,30.90%,106,Kelly,65.01%,223,Auxier,4.08%,14,343,36.35%
Belleville 7,Bost,37.47%,139,Kelly,58.22%,216,Auxier,4.31%,16,371,43.68%
Belleville 8,Bost,44.27%,166,Kelly,50.93%,191,Auxier,4.80%,18,375,54.80%
Belleville 9,Bost,37.74%,120,Kelly,58.49%,186,Auxier,3.77%,12,318,50.79%
Belleville 10,Bost,33.69%,95,Kelly,61.35%,173,Auxier,4.96%,14,282,41.13%
Belleville 11,Bost,36.75%,111,Kelly,60.26%,182,Auxier,2.98%,9,302,50.00%
Belleville 12,Bost,23.67%,102,Kelly,73.78%,318,Auxier,2.55%,11,431,48.99%
Belleville 13,Bost,27.36%,136,Kelly,68.61%,341,Auxier,4.02%,20,497,43.68%
Belleville 14,Bost,34.97%,206,Kelly,61.46%,362,Auxier,3.57%,21,589,55.82%
Belleville 15,Bost,17.90%,63,Kelly,78.41%,276,Auxier,3.69%,13,352,57.68%
Belleville 16,Bost,26.11%,123,Kelly,69.43%,327,Auxier,4.46%,21,471,50.21%
Belleville 17,Bost,38.63%,141,Kelly,56.44%,206,Auxier,4.93%,18,365,52.97%
Belleville 18,Bost,34.97%,114,Kelly,58.28%,190,Auxier,6.75%,22,326,47.64%
Belleville 19,Bost,42.94%,140,Kelly,51.84%,169,Auxier,5.21%,17,326,41.03%
Belleville 20,Bost,30.62%,128,Kelly,64.11%,268,Auxier,5.26%,22,418,41.58%
Belleville 21,Bost,35.42%,136,Kelly,61.20%,235,Auxier,3.39%,13,384,47.94%
Belleville 22,Bost,36.07%,294,Kelly,61.72%,503,Auxier,2.21%,18,815,55.24%
Belleville 23,Bost,40.88%,186,Kelly,55.38%,252,Auxier,3.74%,17,455,54.84%
Belleville 24,Bost,40.97%,236,Kelly,55.90%,322,Auxier,3.13%,18,576,58.87%
Belleville 25,Bost,42.44%,174,Kelly,52.20%,214,Auxier,5.37%,22,410,55.07%
Belleville 26,Bost,32.35%,263,Kelly,63.96%,520,Auxier,3.69%,30,813,47.37%
Belleville 27,Bost,40.22%,144,Kelly,56.70%,203,Auxier,3.07%,11,358,50.07%
Belleville 28,Bost,42.37%,186,Kelly,53.53%,235,Auxier,4.10%,18,439,60.36%
Belleville 29,Bost,34.50%,138,Kelly,61.75%,247,Auxier,3.75%,15,400,54.90%
Belleville 30,Bost,25.42%,76,Kelly,71.24%,213,Auxier,3.34%,10,299,47.86%
Belleville 31,Bost,44.20%,240,Kelly,50.28%,273,Auxier,5.52%,30,543,58.57%
