Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Candidate_D,Percentage_D,Raw_Vote_G,Total,Voter_Turnout
Total,Bost,64.62%,17728,Kelly,32.79%,8996,Auxier,2.59%,710,27434,56.06%
Blairsville 1,Bost,71.29%,149,Kelly,25.84%,54,Auxier,2.87%,6,209,59.38%
Blairsville 2,Bost,66.33%,65,Kelly,30.61%,30,Auxier,3.06%,3,98,52.41%
Blairsville 3,Bost,60.94%,323,Kelly,35.28%,187,Auxier,3.77%,20,530,62.46%
Blairsville 4,Bost,69.57%,240,Kelly,28.70%,99,Auxier,1.74%,6,345,59.56%
Blairsville 5,Bost,59.95%,244,Kelly,36.36%,148,Auxier,3.69%,15,407,51.64%
Blairsville 6,Bost,65.20%,163,Kelly,32.80%,82,Auxier,2.00%,5,250,49.22%
Blairsville 7,Bost,49.57%,230,Kelly,47.63%,221,Auxier,2.80%,13,464,63.40%
Carterville 1,Bost,57.91%,194,Kelly,35.22%,118,Auxier,6.87%,23,335,63.28%
Carterville 2,Bost,57.03%,280,Kelly,41.34%,203,Auxier,1.63%,8,491,58.12%
Carterville 3,Bost,60.00%,453,Kelly,38.15%,288,Auxier,1.85%,14,755,64.79%
Carterville 4,Bost,63.35%,318,Kelly,35.26%,177,Auxier,1.39%,7,502,64.09%
Carterville 5,Bost,64.21%,348,Kelly,33.58%,182,Auxier,2.21%,12,542,61.17%
Carterville 6,Bost,60.50%,458,Kelly,36.46%,276,Auxier,3.04%,23,757,67.05%
Carterville 7,Bost,59.21%,376,Kelly,38.90%,247,Auxier,1.89%,12,635,58.68%
Grassy 1,Bost,59.31%,223,Kelly,39.10%,147,Auxier,1.60%,6,376,72.33%
Herrin 1,Bost,55.20%,138,Kelly,40.80%,102,Auxier,4.00%,10,250,45.18%
Herrin 2,Bost,52.60%,162,Kelly,43.83%,135,Auxier,3.57%,11,308,4.64%
Herrin 3,Bost,59.63%,161,Kelly,37.41%,101,Auxier,2.96%,8,270,44.92%
Herrin 4,Bost,57.26%,335,Kelly,39.83%,233,Auxier,2.91%,17,585,64.67%
Herrin 5,Bost,70.76%,213,Kelly,25.91%,78,Auxier,3.32%,10,301,54.19%
Herrin 6,Bost,60.70%,224,Kelly,37.13%,137,Auxier,2.17%,8,369,57.43%
Herrin 7,Bost,58.89%,338,Kelly,37.46%,215,Auxier,3.66%,21,574,60.60%
Herrin 8,Bost,56.77%,197,Kelly,40.92%,142,Auxier,2.31%,8,347,59.83%
Herrin 9,Bost,61.46%,228,Kelly,36.93%,137,Auxier,1.62%,6,371,54.82%
Herrin 10,Bost,64.41%,324,Kelly,34.00%,171,Auxier,1.59%,8,503,65.72%
