Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
Total,Hultgren,48.38%,7215,Underwood,51.62%,7699,14914,63%
Cortland 01,Hultgren,44.70%,396,Underwood,55.30%,490,886,59%
Cortland 02,Hultgren,45.90%,414,Underwood,54.10%,488,902,68%
Cortland 03,Hultgren,46.18%,242,Underwood,53.82%,282,524,68%
Cortland 04,Hultgren,43.08%,137,Underwood,56.92%,181,318,62%
Cortland 05,Hultgren,55.47%,142,Underwood,44.53%,114,256,72%
Cortland 06,Hultgren,40.26%,283,Underwood,59.74%,420,703,58%
Cortland 07,Hultgren,59.17%,213,Underwood,40.83%,147,360,61%
Cortland 08,Hultgren,47.67%,287,Underwood,52.33%,315,602,69%
Pierce 01,Hultgren,70.83%,170,Underwood,29.17%,70,240,74%
Sandwich 01,Hultgren,48.46%,251,Underwood,51.54%,267,518,56%
Sandwich 02,Hultgren,54.40%,303,Underwood,45.60%,254,557,57%
Sandwich 03,Hultgren,49.00%,245,Underwood,51.00%,255,500,51%
Sandwich 04,Hultgren,53.78%,270,Underwood,46.22%,232,502,55%
Sandwich 05,Hultgren,58.62%,381,Underwood,41.38%,269,650,64%
Somonauk 01,Hultgren,59.19%,470,Underwood,40.81%,324,794,60%
Squaw Grove 01,Hultgren,55.55%,646,Underwood,44.45%,517,1163,63%
Sycamore 01,Hultgren,41.14%,195,Underwood,58.86%,279,474,64%
Sycamore 02,Hultgren,46.73%,293,Underwood,53.27%,334,627,65%
Sycamore 03,Hultgren,60.44%,220,Underwood,39.56%,144,364,68%
Sycamore 04,Hultgren,38.97%,182,Underwood,61.03%,285,467,60%
Sycamore 05,Hultgren,35.02%,152,Underwood,64.98%,282,434,63%
Sycamore 06,Hultgren,32.28%,205,Underwood,67.72%,430,635,67%
Sycamore 07,Hultgren,48.79%,121,Underwood,51.21%,127,248,64%
Sycamore 08,Hultgren,39.39%,180,Underwood,60.61%,277,457,59%
Sycamore 09,Hultgren,45.15%,340,Underwood,54.85%,413,753,65%
Sycamore 10,Hultgren,43.57%,244,Underwood,56.43%,316,560,62%
Sycamore 11,Hultgren,55.48%,233,Underwood,44.52%,187,420,66%
