Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
Total,Hultgren,42.86%,17455,Underwood,57.14%,23266,40721,63.20%
Plainfield 001,Hultgren,42.00%,394,Underwood,58.00%,544,938,61.27%
Plainfield 002,Hultgren,41.78%,371,Underwood,58.22%,517,888,60.15%
Plainfield 003,Hultgren,52.97%,428,Underwood,47.03%,380,808,62.59%
Plainfield 008,Hultgren,40.90%,355,Underwood,59.10%,513,868,60.08%
Plainfield 009,Hultgren,46.96%,479,Underwood,53.04%,541,1020,58.24%
Plainfield 010,Hultgren,47.98%,178,Underwood,52.02%,193,371,60.08%
Plainfield 013,Hultgren,41.86%,90,Underwood,58.14%,125,215,67.07%
Troy 013,Hultgren,49.89%,679,Underwood,50.11%,682,1361,74.36%
Troy 014,Hultgren,54.51%,411,Underwood,45.49%,343,754,64.70%
Troy 015,Hultgren,51.16%,155,Underwood,48.84%,148,303,62.99%
Troy 017,Hultgren,57.42%,437,Underwood,42.58%,324,761,65.83%
Troy 020,Hultgren,48.98%,505,Underwood,51.02%,526,1031,65.34%
Troy 021,Hultgren,51.75%,472,Underwood,48.25%,440,912,68.81%
Troy 022,Hultgren,60.09%,280,Underwood,39.91%,186,466,64.65%
Wheatland 001,Hultgren,39.82%,491,Underwood,60.18%,742,1233,61.91%
Wheatland 002,Hultgren,45.10%,649,Underwood,54.90%,790,1439,74.14%
Wheatland 003,Hultgren,43.77%,439,Underwood,56.23%,564,1003,62.59%
Wheatland 006,Hultgren,45.56%,390,Underwood,54.44%,466,856,66.28%
Wheatland 007,Hultgren,46.16%,427,Underwood,53.84%,498,925,66.40%
Wheatland 008,Hultgren,40.66%,383,Underwood,59.34%,559,942,66.71%
Wheatland 009,Hultgren,39.14%,427,Underwood,60.86%,664,1091,66.14%
Wheatland 010,Hultgren,45.34%,433,Underwood,54.66%,522,955,65.24%
Wheatland 011,Hultgren,34.92%,477,Underwood,65.08%,889,1366,62.48%
Wheatland 012,Hultgren,38.30%,334,Underwood,61.70%,538,872,59.93%
Wheatland 013,Hultgren,44.77%,372,Underwood,55.23%,459,831,64.31%
Wheatland 014,Hultgren,44.49%,460,Underwood,55.51%,574,1034,65.64%
Wheatland 015,Hultgren,36.85%,339,Underwood,63.15%,581,920,62.84%
Wheatland 016,Hultgren,47.96%,459,Underwood,52.04%,498,957,58.64%
Wheatland 017,Hultgren,37.45%,391,Underwood,62.55%,653,1044,68.22%
Wheatland 018,Hultgren,44.16%,420,Underwood,55.84%,531,951,61.28%
Wheatland 020,Hultgren,47.47%,394,Underwood,52.53%,436,830,59.88%
Wheatland 021,Hultgren,38.98%,306,Underwood,61.02%,479,785,62.53%
Wheatland 023,Hultgren,33.46%,341,Underwood,66.54%,678,1019,58.94%
Wheatland 024,Hultgren,47.02%,387,Underwood,52.98%,436,823,60.01%
Wheatland 025,Hultgren,48.72%,456,Underwood,51.28%,480,936,59.55%
Wheatland 026,Hultgren,53.21%,672,Underwood,46.79%,591,1263,65.47%
Wheatland 027,Hultgren,22.60%,207,Underwood,77.40%,709,916,60.94%
Wheatland 028,Hultgren,47.71%,511,Underwood,52.29%,560,1071,61.46%
Wheatland 029,Hultgren,43.63%,473,Underwood,56.37%,611,1084,63.84%
Wheatland 030,Hultgren,45.57%,437,Underwood,54.43%,522,959,59.83%
Wheatland 031,Hultgren,29.24%,219,Underwood,70.76%,530,749,57.28%
Wheatland 032,Hultgren,31.78%,301,Underwood,68.22%,646,947,61.84%
Wheatland 033,Hultgren,22.65%,212,Underwood,77.35%,724,936,59.90%
Wheatland 034,Hultgren,32.14%,414,Underwood,67.86%,874,1288,60.24%
