Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Total,Roskam,46.16%,18608,Casten,53.84%,21705,40313,55.65%
Barrington 1,Roskam,53.20%,357,Casten,46.80%,314,671,72.81%
Barrington 2,Roskam,40.61%,253,Casten,59.39%,370,623,66.25%
Barrington 3,Roskam,61.19%,454,Casten,38.81%,288,742,63.87%
Barrington 5,Roskam,65.84%,480,Casten,34.16%,249,729,67.27%
Barrington 6,Roskam,45.82%,378,Casten,54.18%,447,825,68.57%
Barrington 7,Roskam,62.29%,147,Casten,37.71%,89,236,66.76%
Barrington 8,Roskam,59.34%,575,Casten,40.66%,394,969,59.62%
Barrington 9,Roskam,49.22%,251,Casten,50.78%,259,510,71.55%
Barrington 10,Roskam,41.12%,206,Casten,58.88%,295,501,34.87%
Hanover 9,Roskam,42.93%,246,Casten,57.07%,327,573,55.49%
Hanover 26,Roskam,39.38%,306,Casten,60.62%,471,777,48.33%
Hanover 31,Roskam,53.03%,254,Casten,46.97%,225,479,58.67%
Hanover 42,Roskam,43.22%,258,Casten,56.78%,339,597,53.45%
Hanover 44,Roskam,42.58%,175,Casten,57.42%,236,411,30.97%
Lyons 12,Roskam,58.22%,248,Casten,41.78%,178,426,69.30%
Lyons 27,Roskam,58.93%,165,Casten,41.07%,115,280,31.53%
Palatine 1,Roskam,41.34%,191,Casten,58.66%,271,462,58.85%
Palatine 2,Roskam,41.79%,351,Casten,58.21%,489,840,72.10%
Palatine 3,Roskam,59.16%,310,Casten,40.84%,214,524,65.22%
Palatine 6,Roskam,36.53%,255,Casten,63.47%,443,698,60.94%
Palatine 7,Roskam,40.48%,270,Casten,59.52%,397,667,65.76%
Palatine 8,Roskam,39.16%,271,Casten,60.84%,421,692,61.92%
Palatine 9,Roskam,52.80%,311,Casten,47.20%,278,589,65.49%
Palatine 10,Roskam,56.57%,452,Casten,43.43%,347,799,67.79%
Palatine 11,Roskam,39.50%,207,Casten,60.50%,317,524,56.51%
Palatine 12,Roskam,58.63%,343,Casten,41.37%,242,585,64.74%
Palatine 14,Roskam,39.41%,229,Casten,60.59%,352,581,61.03%
Palatine 15,Roskam,38.97%,272,Casten,61.03%,426,698,63.24%
Palatine 17,Roskam,38.85%,237,Casten,61.15%,373,610,64.57%
Palatine 18,Roskam,40.86%,181,Casten,59.14%,262,443,63.68%
Palatine 19,Roskam,48.55%,318,Casten,51.45%,337,655,67.00%
Palatine 20,Roskam,26.92%,133,Casten,73.08%,361,494,46.24%
Palatine 23,Roskam,62.68%,299,Casten,37.32%,178,477,73.37%
Palatine 25,Roskam,45.17%,234,Casten,54.83%,284,518,67.62%
Palatine 28,Roskam,42.11%,184,Casten,57.89%,253,437,61.78%
Palatine 29,Roskam,41.30%,323,Casten,58.70%,459,782,59.92%
Palatine 30,Roskam,39.83%,188,Casten,60.17%,284,472,60.73%
Palatine 31,Roskam,46.90%,219,Casten,53.10%,248,467,71.64%
Palatine 32,Roskam,47.97%,296,Casten,52.03%,321,617,68.04%
Palatine 33,Roskam,31.58%,114,Casten,68.42%,247,361,49.14%
Palatine 34,Roskam,47.65%,385,Casten,52.35%,423,808,69.04%
Palatine 35,Roskam,38.34%,217,Casten,61.66%,349,566,69.04%
Palatine 36,Roskam,40.56%,219,Casten,59.44%,321,540,57.95%
Palatine 37,Roskam,40.00%,278,Casten,60.00%,417,695,60.12%
Palatine 38,Roskam,52.48%,317,Casten,47.52%,287,604,68.95%
Palatine 40,Roskam,44.24%,407,Casten,55.76%,513,920,63.91%
Palatine 41,Roskam,40.79%,330,Casten,59.21%,479,809,61.59%
Palatine 42,Roskam,40.94%,321,Casten,59.06%,463,784,65.70%
Palatine 43,Roskam,47.03%,269,Casten,52.97%,303,572,67.88%
Palatine 44,Roskam,62.18%,490,Casten,37.82%,298,788,66.39%
Palatine 45,Roskam,50.48%,261,Casten,49.52%,256,517,68.05%
Palatine 46,Roskam,42.94%,301,Casten,57.06%,400,701,64.00%
Palatine 48,Roskam,49.08%,266,Casten,50.92%,276,542,75.10%
Palatine 49,Roskam,56.18%,259,Casten,43.82%,202,461,65.03%
Palatine 50,Roskam,45.07%,402,Casten,54.93%,490,892,64.66%
Palatine 51,Roskam,50.00%,2,Casten,50.00%,2,4,0.62%
Palatine 52,Roskam,50.16%,321,Casten,49.84%,319,640,66.60%
Palatine 54,Roskam,41.18%,329,Casten,58.82%,470,799,70.58%
Palatine 55,Roskam,43.61%,191,Casten,56.39%,247,438,61.07%
Palatine 56,Roskam,37.83%,261,Casten,62.17%,429,690,58.94%
Palatine 57,Roskam,37.20%,305,Casten,62.80%,515,820,62.53%
Palatine 63,Roskam,41.99%,257,Casten,58.01%,355,612,61.28%
Palatine 64,Roskam,34.64%,194,Casten,65.36%,366,560,49.91%
Palatine 65,Roskam,43.68%,228,Casten,56.32%,294,522,65.27%
Palatine 67,Roskam,63.83%,353,Casten,36.17%,200,553,68.29%
Palatine 68,Roskam,46.63%,249,Casten,53.37%,285,534,63.62%
Palatine 69,Roskam,42.43%,255,Casten,57.57%,346,601,58.37%
