Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Total,Roskam,45.29%,76137,Casten,54.71%,91991,168128,57.87%
Wayne 001,Roskam,64.83%,317,Casten,35.17%,172,489,60.61%
Wayne 002,Roskam,52.68%,226,Casten,47.32%,203,429,52.91%
Wayne 003,Roskam,68.63%,186,Casten,31.37%,85,271,58.92%
Wayne 004,Roskam,39.53%,170,Casten,60.47%,260,430,53.23%
Wayne 005,Roskam,50.38%,198,Casten,49.62%,195,393,54.36%
Wayne 006,Roskam,46.70%,177,Casten,53.30%,202,379,58.86%
Wayne 007,Roskam,52.50%,189,Casten,47.50%,171,360,57.76%
Wayne 008,Roskam,54.81%,188,Casten,45.19%,155,343,55.79%
Wayne 009,Roskam,52.05%,241,Casten,47.95%,222,463,61.27%
Wayne 010,Roskam,58.87%,219,Casten,41.13%,153,372,58.89%
Wayne 011,Roskam,54.73%,162,Casten,45.27%,134,296,67.04%
Wayne 012,Roskam,46.93%,153,Casten,53.07%,173,326,55.44%
Wayne 013,Roskam,42.47%,189,Casten,57.53%,256,445,51.30%
Wayne 015,Roskam,32.60%,133,Casten,67.40%,275,408,51.49%
Wayne 017,Roskam,45.62%,177,Casten,54.38%,211,388,57.75%
Wayne 019,Roskam,28.48%,94,Casten,71.52%,236,330,48.42%
Wayne 020,Roskam,38.50%,149,Casten,61.50%,238,387,57.66%
Wayne 021,Roskam,43.97%,175,Casten,56.03%,223,398,58.12%
Wayne 022,Roskam,55.81%,240,Casten,44.19%,190,430,54.82%
Wayne 023,Roskam,45.41%,203,Casten,54.59%,244,447,61.13%
Wayne 025,Roskam,46.15%,156,Casten,53.85%,182,338,56.30%
Wayne 026,Roskam,46.97%,163,Casten,53.03%,184,347,59.83%
Wayne 028,Roskam,47.97%,142,Casten,52.03%,154,296,54.11%
Wayne 030,Roskam,39.42%,177,Casten,60.58%,272,449,60.26%
Wayne 032,Roskam,53.11%,205,Casten,46.89%,181,386,57.39%
Wayne 033,Roskam,46.79%,204,Casten,53.21%,232,436,57.98%
Wayne 035,Roskam,55.63%,168,Casten,44.37%,134,302,58.78%
Wayne 036,Roskam,47.68%,144,Casten,52.32%,158,302,54.74%
Wayne 037,Roskam,59.45%,302,Casten,40.55%,206,508,64.00%
Wayne 039,Roskam,46.53%,228,Casten,53.47%,262,490,54.07%
Wayne 040,Roskam,47.74%,190,Casten,52.26%,208,398,58.58%
Wayne 042,Roskam,77.81%,782,Casten,22.19%,223,1005,45.66%
Wayne 043,Roskam,51.47%,140,Casten,48.53%,132,272,55.26%
Wayne 044,Roskam,50.16%,156,Casten,49.84%,155,311,54.77%
Wayne 046,Roskam,47.29%,183,Casten,52.71%,204,387,60.03%
Wayne 047,Roskam,40.00%,110,Casten,60.00%,165,275,48.26%
Wayne 048,Roskam,59.58%,314,Casten,40.42%,213,527,62.44%
Wayne 049,Roskam,49.56%,227,Casten,50.44%,231,458,55.77%
Wayne 050,Roskam,48.66%,163,Casten,51.34%,172,335,57.36%
Wayne 052,Roskam,52.37%,166,Casten,47.63%,151,317,55.86%
Wayne 053,Roskam,38.62%,168,Casten,61.38%,267,435,53.48%
Wayne 054,Roskam,40.43%,171,Casten,59.57%,252,423,53.42%
Wayne 055,Roskam,49.77%,213,Casten,50.23%,215,428,65.67%
Wayne 056,Roskam,64.22%,210,Casten,35.78%,117,327,55.46%
Wayne 057,Roskam,49.51%,202,Casten,50.49%,206,408,58.39%
Wayne 058,Roskam,48.52%,148,Casten,51.48%,157,305,60.95%
Wayne 059,Roskam,42.06%,151,Casten,57.94%,208,359,53.23%
Wayne 060,Roskam,40.64%,115,Casten,59.36%,168,283,47.85%
Wayne 067,Roskam,45.05%,182,Casten,54.95%,222,404,54.95%
Wayne 068,Roskam,49.50%,148,Casten,50.50%,151,299,55.80%
Bloomingdale 009,Roskam,35.44%,157,Casten,64.56%,286,443,53.73%
Bloomingdale 018,Roskam,43.43%,162,Casten,56.57%,211,373,60.98%
Bloomingdale 043,Roskam,46.38%,192,Casten,53.62%,222,414,54.81%
Bloomingdale 045,Roskam,70.59%,324,Casten,29.41%,135,459,76.70%
Bloomingdale 058,Roskam,48.39%,225,Casten,51.61%,240,465,56.33%
Bloomingdale 068,Roskam,32.52%,133,Casten,67.48%,276,409,48.30%
Bloomingdale 077,Roskam,39.32%,151,Casten,60.68%,233,384,61.79%
Bloomingdale 080,Roskam,47.08%,161,Casten,52.92%,181,342,56.17%
Bloomingdale 089,Roskam,47.79%,162,Casten,52.21%,177,339,56.01%
Winfield 001,Roskam,35.11%,158,Casten,64.89%,292,450,51.00%
Winfield 002,Roskam,52.01%,272,Casten,47.99%,251,523,65.72%
Winfield 004,Roskam,52.80%,236,Casten,47.20%,211,447,70.34%
Winfield 005,Roskam,42.19%,162,Casten,57.81%,222,384,56.30%
Winfield 006,Roskam,54.55%,156,Casten,45.45%,130,286,63.83%
Winfield 007,Roskam,58.61%,286,Casten,41.39%,202,488,60.99%
Winfield 008,Roskam,50.60%,168,Casten,49.40%,164,332,57.70%
Winfield 009,Roskam,20.53%,86,Casten,79.47%,333,419,47.66%
Winfield 012,Roskam,48.02%,243,Casten,51.98%,263,506,58.84%
Winfield 013,Roskam,26.25%,79,Casten,73.75%,222,301,48.06%
Winfield 014,Roskam,45.01%,257,Casten,54.99%,314,571,66.40%
Winfield 015,Roskam,46.37%,115,Casten,53.63%,133,248,63.02%
Winfield 017,Roskam,40.68%,155,Casten,59.32%,226,381,57.10%
Winfield 018,Roskam,53.01%,220,Casten,46.99%,195,415,69.59%
Winfield 019,Roskam,62.24%,305,Casten,37.76%,185,490,69.71%
Winfield 020,Roskam,57.11%,249,Casten,42.89%,187,436,58.43%
Winfield 021,Roskam,51.47%,228,Casten,48.53%,215,443,63.96%
Winfield 022,Roskam,48.64%,233,Casten,51.36%,246,479,61.41%
Winfield 023,Roskam,38.27%,106,Casten,61.73%,171,277,50.54%
Winfield 030,Roskam,47.21%,186,Casten,52.79%,208,394,59.67%
Winfield 037,Roskam,42.40%,145,Casten,57.60%,197,342,52.70%
Winfield 038,Roskam,50.63%,242,Casten,49.37%,236,478,70.43%
Winfield 039,Roskam,47.33%,195,Casten,52.67%,217,412,66.41%
Winfield 040,Roskam,38.26%,114,Casten,61.74%,184,298,52.60%
Winfield 041,Roskam,43.15%,85,Casten,56.85%,112,197,48.11%
Milton 001,Roskam,43.67%,193,Casten,56.33%,249,442,65.45%
Milton 002,Roskam,38.14%,209,Casten,61.86%,339,548,72.83%
Milton 003,Roskam,58.63%,214,Casten,41.37%,151,365,62.17%
Milton 004,Roskam,62.29%,256,Casten,37.71%,155,411,74.15%
Milton 005,Roskam,57.80%,163,Casten,42.20%,119,282,64.14%
Milton 006,Roskam,35.57%,159,Casten,64.43%,288,447,67.62%
Milton 007,Roskam,49.78%,223,Casten,50.22%,225,448,70.25%
Milton 008,Roskam,47.56%,234,Casten,52.44%,258,492,70.80%
Milton 009,Roskam,45.56%,164,Casten,54.44%,196,360,70.70%
Milton 010,Roskam,40.82%,200,Casten,59.18%,290,490,71.72%
Milton 011,Roskam,43.51%,181,Casten,56.49%,235,416,67.09%
Milton 012,Roskam,37.53%,158,Casten,62.47%,263,421,67.79%
Milton 013,Roskam,44.08%,186,Casten,55.92%,236,422,74.47%
Milton 014,Roskam,50.70%,217,Casten,49.30%,211,428,70.63%
Milton 015,Roskam,42.00%,189,Casten,58.00%,261,450,71.88%
Milton 016,Roskam,44.28%,213,Casten,55.72%,268,481,66.76%
Milton 017,Roskam,50.00%,196,Casten,50.00%,196,392,67.99%
Milton 018,Roskam,57.46%,289,Casten,42.54%,214,503,64.92%
Milton 019,Roskam,38.96%,180,Casten,61.04%,282,462,64.44%
Milton 020,Roskam,48.82%,228,Casten,51.18%,239,467,59.25%
Milton 021,Roskam,37.06%,126,Casten,62.94%,214,340,68.06%
Milton 022,Roskam,46.77%,203,Casten,53.23%,231,434,64.81%
Milton 023,Roskam,48.24%,247,Casten,51.76%,265,512,62.02%
Milton 024,Roskam,33.59%,132,Casten,66.41%,261,393,60.42%
Milton 025,Roskam,60.66%,350,Casten,39.34%,227,577,74.81%
Milton 026,Roskam,34.93%,175,Casten,65.07%,326,501,53.07%
Milton 027,Roskam,37.28%,170,Casten,62.72%,286,456,65.06%
Milton 028,Roskam,57.92%,245,Casten,42.08%,178,423,67.14%
Milton 029,Roskam,47.79%,184,Casten,52.21%,201,385,69.40%
Milton 030,Roskam,46.39%,180,Casten,53.61%,208,388,59.60%
Milton 031,Roskam,52.16%,157,Casten,47.84%,144,301,55.60%
Milton 032,Roskam,50.84%,272,Casten,49.16%,263,535,70.34%
Milton 033,Roskam,41.60%,161,Casten,58.40%,226,387,63.25%
Milton 034,Roskam,39.02%,183,Casten,60.98%,286,469,66.30%
Milton 035,Roskam,42.09%,189,Casten,57.91%,260,449,63.04%
Milton 036,Roskam,33.40%,173,Casten,66.60%,345,518,67.09%
Milton 037,Roskam,61.08%,306,Casten,38.92%,195,501,65.08%
Milton 038,Roskam,34.26%,172,Casten,65.74%,330,502,57.24%
Milton 039,Roskam,57.84%,273,Casten,42.16%,199,472,71.62%
Milton 040,Roskam,43.46%,226,Casten,56.54%,294,520,60.18%
Milton 041,Roskam,40.10%,166,Casten,59.90%,248,414,58.79%
Milton 042,Roskam,42.24%,166,Casten,57.76%,227,393,59.38%
Milton 043,Roskam,44.61%,240,Casten,55.39%,298,538,67.89%
Milton 044,Roskam,38.26%,145,Casten,61.74%,234,379,68.33%
Milton 045,Roskam,43.00%,212,Casten,57.00%,281,493,69.22%
Milton 046,Roskam,44.73%,157,Casten,55.27%,194,351,69.35%
Milton 047,Roskam,38.75%,186,Casten,61.25%,294,480,67.64%
Milton 048,Roskam,43.89%,176,Casten,56.11%,225,401,65.14%
Milton 049,Roskam,48.95%,233,Casten,51.05%,243,476,69.87%
Milton 050,Roskam,47.66%,224,Casten,52.34%,246,470,66.53%
Milton 051,Roskam,52.98%,89,Casten,47.02%,79,168,22.38%
Milton 052,Roskam,41.65%,207,Casten,58.35%,290,497,69.02%
Milton 054,Roskam,52.36%,277,Casten,47.64%,252,529,69.56%
Milton 055,Roskam,50.69%,256,Casten,49.31%,249,505,61.15%
Milton 056,Roskam,34.90%,186,Casten,65.10%,347,533,63.73%
Milton 057,Roskam,50.23%,215,Casten,49.77%,213,428,70.70%
Milton 058,Roskam,38.42%,214,Casten,61.58%,343,557,68.82%
Milton 059,Roskam,49.13%,254,Casten,50.87%,263,517,68.64%
Milton 060,Roskam,42.95%,137,Casten,57.05%,182,319,64.34%
Milton 061,Roskam,60.32%,228,Casten,39.68%,150,378,62.52%
Milton 062,Roskam,40.46%,159,Casten,59.54%,234,393,71.43%
Milton 063,Roskam,45.05%,205,Casten,54.95%,250,455,62.01%
Milton 064,Roskam,41.23%,174,Casten,58.77%,248,422,62.27%
Milton 065,Roskam,49.57%,231,Casten,50.43%,235,466,72.94%
Milton 066,Roskam,38.42%,199,Casten,61.58%,319,518,60.72%
Milton 067,Roskam,45.88%,178,Casten,54.12%,210,388,73.32%
Milton 068,Roskam,41.62%,206,Casten,58.38%,289,495,71.65%
Milton 069,Roskam,35.50%,153,Casten,64.50%,278,431,76.95%
Milton 071,Roskam,51.34%,211,Casten,48.66%,200,411,72.85%
Milton 073,Roskam,43.90%,187,Casten,56.10%,239,426,67.45%
Milton 074,Roskam,56.04%,269,Casten,43.96%,211,480,70.20%
Milton 075,Roskam,52.76%,268,Casten,47.24%,240,508,70.78%
Milton 076,Roskam,38.86%,197,Casten,61.14%,310,507,69.27%
Milton 077,Roskam,52.99%,213,Casten,47.01%,189,402,68.40%
