Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Total,Roskam,48.53%,21446,Casten,51.47%,22746,44192,54.77%
DU0001,Roskam,39.65%,251,Casten,60.35%,382,633,60.07%
DU0002,Roskam,42.93%,167,Casten,57.07%,222,389,56.45%
DU0004,Roskam,51.97%,304,Casten,48.03%,281,585,63.32%
DU0016,Roskam,36.67%,242,Casten,63.33%,418,660,50.80%
DU0018,Roskam,50.00%,470,Casten,50.00%,470,940,58.34%
DU0020,Roskam,49.38%,359,Casten,50.62%,368,727,64.71%
DU0022,Roskam,58.25%,286,Casten,41.75%,205,491,61.08%
DU0023,Roskam,40.06%,145,Casten,59.94%,217,362,53.85%
DU0024,Roskam,46.51%,233,Casten,53.49%,268,501,53.62%
DU0025,Roskam,56.40%,251,Casten,43.60%,194,445,63.56%
DU0026,Roskam,45.94%,198,Casten,54.06%,233,431,60.96%
DU0027,Roskam,48.72%,209,Casten,51.28%,220,429,42.07%
DU0028,Roskam,54.14%,588,Casten,45.86%,498,1086,56.87%
DU0029,Roskam,50.78%,259,Casten,49.22%,251,510,60.30%
DU0030,Roskam,55.02%,400,Casten,44.98%,327,727,56.58%
DU0031,Roskam,47.86%,190,Casten,52.14%,207,397,52.74%
DU0032,Roskam,38.43%,357,Casten,61.57%,572,929,47.02%
DU0033,Roskam,42.98%,395,Casten,57.02%,524,919,52.33%
DU0034,Roskam,37.47%,278,Casten,62.53%,464,742,50.47%
DU0035,Roskam,35.19%,322,Casten,64.81%,593,915,46.08%
EL0007,Roskam,53.05%,287,Casten,46.95%,254,541,63.72%
EL0008,Roskam,33.55%,157,Casten,66.45%,311,468,52.10%
EL0010,Roskam,40.44%,182,Casten,59.56%,268,450,58.47%
EL0015,Roskam,42.86%,195,Casten,57.14%,260,455,57.71%
EL0016,Roskam,52.11%,297,Casten,47.89%,273,570,57.98%
EL0021,Roskam,41.73%,159,Casten,58.27%,222,381,47.57%
EL0024,Roskam,54.49%,613,Casten,45.51%,512,1125,57.46%
EL0036,Roskam,38.00%,220,Casten,62.00%,359,579,45.60%
EL0038,Roskam,49.89%,229,Casten,50.11%,230,459,50.98%
EL0039,Roskam,44.98%,206,Casten,55.02%,252,458,47.10%
EL0047,Roskam,51.32%,622,Casten,48.68%,590,1212,56.46%
EL0048,Roskam,45.28%,336,Casten,54.72%,406,742,60.87%
EL0050,Roskam,33.46%,86,Casten,66.54%,171,257,50.98%
EL0051,Roskam,51.06%,314,Casten,48.94%,301,615,60.74%
EL0053,Roskam,41.50%,488,Casten,58.50%,688,1176,50.70%
EL0054,Roskam,37.11%,216,Casten,62.89%,366,582,57.73%
EL0055,Roskam,45.01%,334,Casten,54.99%,408,742,51.84%
EL0056,Roskam,40.00%,256,Casten,60.00%,384,640,49.02%
EL0057,Roskam,33.33%,8,Casten,66.67%,16,24,42.11%
EL0058,Roskam,42.53%,680,Casten,57.47%,919,1599,54.68%
EL0059,Roskam,46.11%,758,Casten,53.89%,886,1644,
RU0001,Roskam,51.43%,649,Casten,48.57%,613,1262,
RU0005,Roskam,42.20%,465,Casten,57.80%,637,1102,
RU0006,Roskam,58.80%,284,Casten,41.20%,199,483,
SC0001,Roskam,55.06%,261,Casten,44.94%,213,474,
SC0002,Roskam,50.16%,313,Casten,49.84%,311,624,
SC0003,Roskam,45.51%,324,Casten,54.49%,388,712,
SC0007,Roskam,64.63%,444,Casten,35.37%,243,687,
SC0008,Roskam,49.52%,412,Casten,50.48%,420,832,
SC0011,Roskam,53.95%,314,Casten,46.05%,268,582,
SC0012,Roskam,53.34%,327,Casten,46.66%,286,613,
SC0016,Roskam,54.07%,445,Casten,45.93%,378,823,
SC0017,Roskam,43.50%,221,Casten,56.50%,287,508,
SC0022,Roskam,55.68%,407,Casten,44.32%,324,731,
SC0024,Roskam,53.63%,657,Casten,46.37%,568,1225,
SC0026,Roskam,58.75%,487,Casten,41.25%,342,829,
SC0027,Roskam,51.33%,423,Casten,48.67%,401,824,
SC0028,Roskam,55.29%,376,Casten,44.71%,304,680,
SC0029,Roskam,46.44%,385,Casten,53.56%,444,829,
SC0030,Roskam,56.71%,389,Casten,43.29%,297,686,
SC0031,Roskam,59.63%,619,Casten,40.37%,419,1038,
SC0032,Roskam,66.98%,361,Casten,33.02%,178,539,
SC0033,Roskam,58.74%,336,Casten,41.26%,236,572,
