Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Total,Roskam,51.69%,14661,Casten,48.31%,13702,28363,62.87%
Cuba 64,Roskam,59.38%,269,Casten,40.62%,184,453,56.59%
Cuba 65,Roskam,62.04%,420,Casten,37.96%,257,677,66.44%
Cuba 66,Roskam,46.06%,310,Casten,53.94%,363,673,67.50%
Cuba 67,Roskam,52.82%,253,Casten,47.18%,226,479,62.11%
Cuba 68,Roskam,53.71%,355,Casten,46.29%,306,661,71.63%
Cuba 69,Roskam,53.13%,425,Casten,46.88%,375,800,71.17%
Cuba 70,Roskam,64.84%,319,Casten,35.16%,173,492,62.11%
Cuba 71,Roskam,54.09%,324,Casten,45.91%,275,599,60.93%
Cuba 72,Roskam,53.01%,291,Casten,46.99%,258,549,66.83%
Cuba 73,Roskam,46.65%,313,Casten,53.35%,358,671,60.79%
Cuba 74,Roskam,57.06%,404,Casten,42.94%,304,708,63.90%
Cuba 75,Roskam,57.14%,296,Casten,42.86%,222,518,62.57%
Cuba 76,Roskam,42.86%,300,Casten,57.14%,400,700,64.07%
Cuba 77,Roskam,59.63%,514,Casten,40.37%,348,862,67.18%
Ela 78,Roskam,56.79%,326,Casten,43.21%,248,574,66.55%
Ela 79,Roskam,51.07%,429,Casten,48.93%,411,840,66.54%
Ela 80,Roskam,50.00%,328,Casten,50.00%,328,656,62.85%
Ela 81,Roskam,51.57%,394,Casten,48.43%,370,764,59.00%
Ela 82,Roskam,50.07%,364,Casten,49.93%,363,727,61.78%
Ela 83,Roskam,46.49%,331,Casten,53.51%,381,712,60.71%
Ela 84,Roskam,51.23%,313,Casten,48.77%,298,611,59.96%
Ela 85,Roskam,46.72%,249,Casten,53.28%,284,533,58.84%
Ela 86,Roskam,51.63%,364,Casten,48.37%,341,705,65.47%
Ela 87,Roskam,43.65%,337,Casten,56.35%,435,772,57.88%
Ela 88,Roskam,65.94%,364,Casten,34.06%,188,552,56.77%
Ela 89,Roskam,54.62%,355,Casten,45.38%,295,650,60.59%
Ela 90,Roskam,46.33%,290,Casten,53.67%,336,626,64.43%
Ela 91,Roskam,51.83%,298,Casten,48.17%,277,575,64.44%
Ela 92,Roskam,44.70%,287,Casten,55.30%,355,642,57.89%
Ela 93,Roskam,42.93%,255,Casten,57.07%,339,594,65.28%
Ela 94,Roskam,44.25%,281,Casten,55.75%,354,635,60.23%
Ela 95,Roskam,45.19%,310,Casten,54.81%,376,686,60.59%
Ela 96,Roskam,48.58%,324,Casten,51.42%,343,667,60.47%
Ela 97,Roskam,44.11%,262,Casten,55.89%,332,594,62.79%
Ela 98,Roskam,45.90%,263,Casten,54.10%,310,573,64.21%
Ela 99,Roskam,56.12%,523,Casten,43.88%,409,932,62.09%
Ela 100,Roskam,53.41%,462,Casten,46.59%,403,865,61.03%
Ela 101,Roskam,50.17%,433,Casten,49.83%,430,863,60.42%
Ela 102,Roskam,57.58%,509,Casten,42.42%,375,884,64.87%
Ela 103,Roskam,49.03%,329,Casten,50.97%,342,671,61.36%
Ela 104,Roskam,54.16%,417,Casten,45.84%,353,770,67.54%
Ela 105,Roskam,55.54%,471,Casten,44.46%,377,848,62.24%
