Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Total,Roskam,46.28%,16247,Casten,53.72%,18857,35104,51.46%
Algonquin 1,Roskam,42.59%,138,Casten,57.41%,186,324,46.77%
Algonquin 2,Roskam,37.95%,189,Casten,62.05%,309,498,56.79%
Algonquin 3,Roskam,36.36%,148,Casten,63.64%,259,407,54.29%
Algonquin 4,Roskam,39.02%,222,Casten,60.98%,347,569,57.14%
Algonquin 5,Roskam,43.02%,302,Casten,56.98%,400,702,57.47%
Algonquin 6,Roskam,45.15%,200,Casten,54.85%,243,443,55.17%
Algonquin 7,Roskam,55.92%,170,Casten,44.08%,134,304,61.94%
Algonquin 8,Roskam,43.88%,215,Casten,56.12%,275,490,49.75%
Algonquin 9,Roskam,47.71%,240,Casten,52.29%,263,503,58.96%
Algonquin 10,Roskam,35.15%,193,Casten,64.85%,356,549,55.09%
Algonquin 11,Roskam,43.85%,253,Casten,56.15%,324,577,42.36%
Algonquin 12,Roskam,44.26%,235,Casten,55.74%,296,531,56.51%
Algonquin 13,Roskam,40.72%,169,Casten,59.28%,246,415,43.23%
Algonquin 14,Roskam,52.87%,267,Casten,47.13%,238,505,51.93%
Algonquin 15,Roskam,46.31%,163,Casten,53.69%,189,352,41.42%
Algonquin 16,Roskam,60.00%,339,Casten,40.00%,226,565,61.13%
Algonquin 17,Roskam,59.38%,424,Casten,40.62%,290,714,54.94%
Algonquin 18,Roskam,52.39%,197,Casten,47.61%,179,376,50.46%
Algonquin 19,Roskam,45.74%,177,Casten,54.26%,210,387,51.86%
Algonquin 20,Roskam,40.00%,96,Casten,60.00%,144,240,48.99%
Algonquin 21,Roskam,44.82%,225,Casten,55.18%,277,502,50.60%
Algonquin 22,Roskam,41.51%,132,Casten,58.49%,186,318,50.08%
Algonquin 23,Roskam,51.37%,318,Casten,48.63%,301,619,60.02%
Algonquin 24,Roskam,42.12%,195,Casten,57.88%,268,463,44.47%
Algonquin 25,Roskam,42.14%,142,Casten,57.86%,195,337,52.89%
Algonquin 26,Roskam,37.39%,126,Casten,62.61%,211,337,45.49%
Algonquin 27,Roskam,41.71%,166,Casten,58.29%,232,398,43.45%
Algonquin 28,Roskam,48.11%,242,Casten,51.89%,261,503,48.12%
Algonquin 29,Roskam,46.98%,140,Casten,53.02%,158,298,52.45%
Algonquin 30,Roskam,53.85%,329,Casten,46.15%,282,611,55.33%
Algonquin 31,Roskam,44.89%,303,Casten,55.11%,372,675,51.47%
Algonquin 32,Roskam,45.45%,185,Casten,54.55%,222,407,51.38%
Algonquin 33,Roskam,53.59%,336,Casten,46.41%,291,627,29.95%
Algonquin 34,Roskam,39.82%,180,Casten,60.18%,272,452,50.22%
Algonquin 35,Roskam,44.05%,270,Casten,55.95%,343,613,47.16%
Algonquin 36,Roskam,46.28%,230,Casten,53.72%,267,497,59.19%
Algonquin 37,Roskam,36.88%,52,Casten,63.12%,89,141,57.79%
Algonquin 38,Roskam,48.20%,228,Casten,51.80%,245,473,93.93%
Algonquin 39,Roskam,46.64%,215,Casten,53.36%,246,461,43.90%
Algonquin 40,Roskam,39.34%,155,Casten,60.66%,239,394,49.13%
Algonquin 41,Roskam,47.97%,330,Casten,52.03%,358,688,50.51%
Algonquin 42,Roskam,46.06%,333,Casten,53.94%,390,723,56.49%
Algonquin 43,Roskam,48.24%,316,Casten,51.76%,339,655,51.40%
Algonquin 44,Roskam,44.21%,187,Casten,55.79%,236,423,50.53%
Algonquin 45,Roskam,48.13%,271,Casten,51.87%,292,563,59.41%
Algonquin 46,Roskam,43.67%,293,Casten,56.33%,378,671,59.48%
Algonquin 47,Roskam,45.69%,350,Casten,54.31%,416,766,58.25%
Algonquin 48,Roskam,49.22%,349,Casten,50.78%,360,709,56.55%
Algonquin 49,Roskam,55.08%,255,Casten,44.92%,208,463,55.33%
Algonquin 50,Roskam,51.71%,288,Casten,48.29%,269,557,57.22%
Algonquin 51,Roskam,44.99%,337,Casten,55.01%,412,749,54.95%
Algonquin 52,Roskam,39.02%,224,Casten,60.98%,350,574,46.37%
Algonquin 53,Roskam,34.53%,125,Casten,65.47%,237,362,36.75%
Algonquin 54,Roskam,50.83%,276,Casten,49.17%,267,543,52.62%
Algonquin 55,Roskam,49.24%,326,Casten,50.76%,336,662,54.29%
Algonquin 56,Roskam,44.26%,162,Casten,55.74%,204,366,50.62%
Algonquin 57,Roskam,36.82%,278,Casten,63.18%,477,755,47.59%
Algonquin 58,Roskam,52.45%,332,Casten,47.55%,301,633,55.36%
Algonquin 59,Roskam,39.44%,252,Casten,60.56%,387,639,42.45%
Algonquin 60,Roskam,42.91%,115,Casten,57.09%,153,268,54.97%
Algonquin 61,Roskam,47.54%,174,Casten,52.46%,192,366,47.39%
Algonquin 62,Roskam,47.05%,303,Casten,52.95%,341,644,54.31%
Algonquin 63,Roskam,48.24%,356,Casten,51.76%,382,738,49.14%
Algonquin 64,Roskam,47.00%,188,Casten,53.00%,212,400,52.27%
Algonquin 65,Roskam,53.22%,421,Casten,46.78%,370,791,56.22%
Algonquin 66,Roskam,43.19%,184,Casten,56.81%,242,426,53.88%
Algonquin 67,Roskam,52.69%,313,Casten,47.31%,281,594,56.90%
Algonquin 68,Roskam,50.44%,403,Casten,49.56%,396,799,53.14%
